# Format:
# <grep regular expression>,<vertical>
#
# events
#
YMCA,event
Tai Chi,event
Home Buyers,event
Music Festival,event
Zumba Class,event
Home Buyer Workshop,event
Networking,event
Boat Race,event
Bike Ride,event
Learn.*Mandarin,event
Mortgage 101,event
Leadership Workshop,event
Parent Education,event
New Moms,event
Business Workshop,event
Programming.*Workshop,event
Startup Workshop,event
Hiking Group,event
Tennis Academy,event
Summer Camp,event
Pick Up Soccer,event
Singles Dance,event
Dance Class,event
Car Show,event
Book Club,event
Computer Workshop,event
French Class,event
Arts Workshop,event
Yoga Class,event
Collage Workshop,event
After School,event
Crawfish Festival,event
Food for Life,event
Concert,event
Summer Concert,event
Half Marathon,event
Seafood Festival,event
Sesame Street Live,event
Family Game Night,event
Pottery Classes,event
Wine.*Tasting,event
Fashion Night,event
Deep Learning,event
Java User,event
#
# deals
#
Work Out,deals
Fitness Class,deals
Tango Class,deals
Zumba Class,deals
Boxing Class,deals
Yoga Class,deals
Dance Academy,deals
Gym Membership,deals
Ballet Class,deals
Dancing Class,deals
Wine Tasting,deals
Martial Arts,deals
Custom Facial,deals
Photo Tours,deals
Fast Food,deals
Thai Massage,deals
Wellness Coaching,deals
Weight Loss Spa,deals
Personal Trainers,deals
Photoshop Course,deals
Fitness Sessions,deals
Massage,deals
Italian Food,deals
Mexican Food,deals
Pizza,deals
Chinese Food,deals
Restaurant,deals
Cinema,deals
Haircut,deals
Mexican Grill,deals
Buffet,deals
Oil Change,deals
Dental,deals
Car Rental,deals
Photoshop Certification,deals
Foot Therapy,deals
Spa,deals
Air Conditioning Tune Up,deals
Music Class,deals
Hair Color,deals
Orthodontic Package,deals
Tires,deals
Winemaking Class,deals
Boot Camp,deals
Paint Nite,deals
Weight Loss,deals
Skin Care,deals
